Codigo,Nombre,ENT
01,Aguascalientes,Ags.
02,Baja California,B.C.
03,Baja California Sur,B.C.S
04,Campeche,Camp.
05,Coahuila de Zaragoza,Coah.
06,Colima,Col.
07,Chiapas,Chis.
08,Chihuahua,Chih.
09,Ciudad de México,C.D.Mx
10,Durango,Dgo.
11,Guanajuato,Gto.
12,Guerrero,Gro.
13,Hidalgo,Hgo.
14,Jalisco,Jal.
15,Estado de México,Edo. Méx.
16,Michoacán de Ocampo,Mich.
17,Morelos,Mor.
18,Nayarit,Nay.
19,Nuevo León,N.L.
20,Oaxaca,Oax.
21,Puebla,Pue.
22,Querétaro,Qro.
23,Quintana Roo,Q. Roo.
24,San Luis Potosí,S.L.P
25,Sinaloa,Sin.
26,Sonora,Son.
27,Tabasco,Tab.
28,Tamaulipas,Tamps.
29,Tlaxcala,Tlax.
30,Veracruz de Ingancio de la Llave,Ver.
31,Yucatán,Yuc.
32,Zacatecas,Zac.
