UPM,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,P2_3,FAC_VIV,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT
0206345,03,2,2,1,1,1,2,1,4,1,,596,00578,018,U,1,3,02
0206345,04,3,1,1,1,1,1,1,1,1,,596,00578,018,U,1,3,02
0206345,05,2,1,1,1,1,1,1,5,1,,596,00578,018,U,1,3,02
0206347,01,2,1,1,1,1,1,1,6,1,,692,00579,019,U,1,4,02
0206347,02,3,1,1,1,1,1,1,4,1,,692,00579,019,U,1,4,02
0206347,03,3,1,1,1,1,1,1,5,1,,692,00579,019,U,1,4,02
0206347,04,2,1,1,1,1,2,2,6,1,,692,00579,019,U,1,4,02
0206347,05,2,1,1,1,1,1,1,3,1,,692,00579,019,U,1,4,02
0206353,01,3,1,1,1,1,1,2,4,1,,651,00580,019,U,1,4,02
0206353,02,3,1,1,1,1,1,1,4,1,,651,00580,019,U,1,4,02
0206353,03,3,1,1,1,1,1,1,5,1,,651,00580,019,U,1,4,02
0206353,05,3,1,1,1,1,1,2,1,1,,651,00580,019,U,1,4,02
0206361,01,2,1,1,1,1,1,1,4,1,,678,00581,018,U,1,3,02
0206361,02,3,1,1,1,1,1,1,3,1,,678,00581,018,U,1,3,02
0206361,03,3,1,1,1,1,1,1,4,1,,678,00581,018,U,1,3,02
0206361,05,3,1,1,1,1,1,1,2,1,,678,00581,018,U,1,3,02
0206366,02,2,1,1,1,1,1,1,5,1,,611,00582,019,U,1,4,02
0206366,03,2,1,1,1,1,1,2,4,1,,611,00582,019,U,1,4,02
0206366,04,2,1,1,1,1,1,2,4,1,,611,00582,019,U,1,4,02
0206366,05,3,1,1,1,1,1,1,2,1,,611,00582,019,U,1,4,02
0206504,01,3,1,1,1,1,1,1,4,1,,807,00583,019,U,1,4,02
0206504,02,3,1,1,1,1,1,1,3,1,,807,00583,019,U,1,4,02
0206504,03,3,1,1,1,1,1,1,2,1,,807,00583,019,U,1,4,02
0206504,04,3,1,1,1,1,1,1,3,1,,807,00583,019,U,1,4,02
0206504,05,3,1,1,1,1,1,1,2,1,,807,00583,019,U,1,4,02
0206523,01,3,1,1,1,1,1,1,3,1,,671,00584,019,U,1,4,02
0206523,02,2,1,1,1,1,1,1,2,1,,671,00584,019,U,1,4,02
0206523,03,3,1,1,1,1,1,1,2,1,,671,00584,019,U,1,4,02
0206523,04,3,1,1,1,1,1,1,3,1,,671,00584,019,U,1,4,02
0206599,01,3,1,1,1,1,2,2,1,1,,555,00585,017,U,1,2,02
0206599,02,3,1,1,1,1,1,1,7,1,,555,00585,017,U,1,2,02
0206599,03,2,1,1,1,1,1,1,3,1,,555,00585,017,U,1,2,02
0206599,04,2,1,1,1,1,1,1,5,1,,555,00585,017,U,1,2,02
0206599,05,2,1,1,1,1,1,2,5,1,,555,00585,017,U,1,2,02
0206616,01,2,1,1,1,1,1,2,4,1,,664,00586,019,U,1,4,02
0206616,04,3,1,1,1,1,1,2,1,1,,664,00586,019,U,1,4,02
0206616,05,2,1,1,1,1,1,1,4,1,,664,00586,019,U,1,4,02
0206633,01,3,1,1,1,1,2,2,1,1,,589,00587,017,U,1,2,02
0206633,02,2,1,1,1,1,1,1,4,1,,589,00587,017,U,1,2,02
0206633,03,2,1,1,1,1,1,1,7,1,,589,00587,017,U,1,2,02
0206633,04,2,2,2,1,1,2,2,2,1,,589,00587,017,U,1,2,02
0206633,05,3,1,2,1,1,1,1,2,1,,589,00587,017,U,1,2,02
0206680,01,3,1,1,1,1,1,1,4,1,,561,00588,019,U,1,4,02
0206680,02,3,1,1,1,1,1,1,6,1,,561,00588,019,U,1,4,02
0206680,03,3,1,1,1,1,1,1,2,1,,561,00588,019,U,1,4,02
0206680,04,3,1,1,1,1,2,1,3,1,,561,00588,019,U,1,4,02
0206680,05,3,1,1,1,1,1,1,3,1,,561,00588,019,U,1,4,02
0206695,01,3,1,1,1,1,1,1,3,1,,577,00589,019,U,1,4,02
0206695,03,3,1,1,1,1,1,1,2,1,,577,00589,019,U,1,4,02
0206695,04,3,1,1,1,1,1,1,2,1,,577,00589,019,U,1,4,02
0206695,05,3,1,1,1,1,1,1,7,1,,577,00589,019,U,1,4,02
0206731,02,3,1,1,1,1,1,1,2,1,,573,00590,017,U,1,2,02
0206731,03,3,1,1,1,1,1,1,4,1,,573,00590,017,U,1,2,02
0206731,04,3,1,1,1,1,1,1,4,1,,573,00590,017,U,1,2,02
0206731,05,3,1,1,1,1,1,1,3,1,,573,00590,017,U,1,2,02
0206790,01,3,1,1,1,1,1,1,3,1,,610,00591,018,U,1,3,02
