CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,7,Varchar2,[0100026-3260770],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada ,2,Varchar2,[01-24],Vivienda seleccionada 
HOGAR,Número de Hogar en la vivienda,2,Varchar2,[01-05],Número de Hogar en la vivienda
NUM_REN,Número de renglón,2,Varchar2,[01-21],Número de renglón
EDAD,Edad del elegido,2,Number,[0-99], 
FAC_PER,Factor,20,Number,[59-43010],Factor
UPM_DIS,Unidad primaria de muestreo,5,Varchar2,[00001-08237],Unidad primaria de muestreo
EST_DIS,Estrato de diseño muestral,3,Varchar2,[001-340],Estrato de diseño muestral
DOMINIO,Población rural y urbana,1,Varchar2,"[U,R]",Población rural y urbana
TLOC,Tamaño de la Localidad,1,Varchar2,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes"
ESTRATO,Estrato socioeconómico,1,Varchar2,[1-4],"1 Bajo, 2 Medio bajo, 3 Medio alto, 4 Alto"
PAREN,3.3 ¿Qué es (NOMBRE) del jefe(a) del hogar?,1,Varchar2,[1-6],"1 Jefe(a), 2 Esposo(a) o compañero(a), 3 Hijo(a), 4 Nieto(a), 5 Otro parentesco, 6 Sin parentesco"
SEXO,3.4 (NOMBRE) es hombre (NOMBRE) es mujer,1,Varchar2,[1-2],"1 Hombre, 2 Mujer"
NIVEL,"3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? 
Nivel",2,Varchar2,"[00-11],99","00 Ninguno, 01 Preescolar o kínder, 02 Primaria, 03 Secundaria, 04 Normal básica, 05 Estudio técnico terminal con secundaria, 06 Preparatoria o bachillerato, 07 Estudio técnico superior con preparatoria terminada, 08 Licenciatura o ingeniería, 09 Especialidad, 10 Maestría, 11 Doctorado, 99 No sabe"
GRADO,"3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? 
Grado",1,Varchar2,[0-9], 
P8_1,8.1 ¿Dispone usted de celular?,1,Varchar2,[1-2],"1 Sí, 2 No"
P8_2,8.2 ¿Por qué no dispone de un celular (común o Smartphone)?,1,Varchar2,[1-8],"1 Por falta de recursos económicos, 2 No le interesa o no lo necesita, 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red), 4 Por razones relacionadas con la privacidad o seguridad, 5 No sabe utilizarlo, 6 No le permiten usarlo, 7 Por discapacidad física o mental, 8 Otra razón"
P8_2A,8.2 ¿Por qué no dispone de un celular (común o Smartphone)? Especifique,100,Varchar2,[A-Z],
P8_3,"8.3 En los últimos tres meses, ¿ha usado usted teléfono celular común o inteligente (Smartphone)?",1,Varchar2,[1-2],"1 Sí, 2 No"
P8_4_1,"8.4 ¿El celular que usa es…
 común?",1,Varchar2,[1-2],"1 Sí, 2 No"
P8_4_2,"8.4 ¿El celular que usa es…
 inteligente (Smartphone)?",1,Varchar2,[1-2],"1 Sí, 2 No"
P8_5_1,"8.5 ¿Cuántos celulares utiliza del…
 común?",3,Number,[01-09],
P8_5_2,"8.5 ¿Cuántos celulares utiliza del…
 inteligente (Smartphone)?",3,Number,[01-09],
P8_6,"8.6 En los últimos tres meses, ¿con qué frecuencia utilizó el celular para hacer o recibir llamadas?",1,Varchar2,[1-4],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez al mes, 4 Con otra frecuencia menor"
