CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,7,Varchar2,[0100026-3260770],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada ,2,Varchar2,[01-24],Vivienda seleccionada 
HOGAR,Número de Hogar en la vivienda,2,Varchar2,[01-05],Número de Hogar en la vivienda
NUM_REN,Número de renglón,2,Varchar2,[01-21],Número de renglón
EDAD,Edad del elegido,2,Number,[0-99],
FAC_PER,Factor,20,Number,[59-43010],Factor
UPM_DIS,Unidad primaria de muestreo,5,Varchar2,[00001-08237],Unidad primaria de muestreo
EST_DIS,Estrato de diseño muestral,3,Varchar2,[001-340],Estrato de diseño muestral
DOMINIO,Población rural y urbana,1,Varchar2,"[U,R]",Población rural y urbana
TLOC,Tamaño de la Localidad,1,Varchar2,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes"
ESTRATO,Estrato socioeconómico,1,Varchar2,[1-4],"1 Bajo, 2 Medio bajo, 3 Medio alto, 4 Alto"
PAREN,3.3 ¿Qué es (NOMBRE) del jefe(a) del hogar?,1,Varchar2,[1-6],"1 Jefe(a), 2 Esposo(a) o compañero(a), 3 Hijo(a), 4 Nieto(a), 5 Otro parentesco, 6 Sin parentesco"
SEXO,3.4 (NOMBRE) es hombre (NOMBRE) es mujer,1,Varchar2,[1-2],"1 Hombre, 2 Mujer"
NIVEL,"3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? 
Nivel",2,Varchar2 ,"[00-11],99","00 Ninguno, 01 Preescolar o kínder, 02 Primaria, 03 Secundaria, 04 Normal básica, , 05 Estudio técnico terminal con secundaria, 06 Preparatoria o bachillerato, 07 Estudio técnico superior con preparatoria terminada, 08 Licenciatura o ingeniería, 09 Especialidad, 10 Maestría, 11 Doctorado, 99 No sabe"
GRADO,"3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? 
Grado",1,Varchar2 ,[0-9],
P6_1,"6.1 En los últimos tres meses, ¿utilizó computadora, laptop o tablet en este hogar o fuera de él?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_2_1,"6.2 ¿Usted usa…
 computadora de escritorio?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_2_2,"6.2 ¿Usted usa…
 computadora portátil (laptop, notebook)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_2_3,"6.2 ¿Usted usa…
 tablet?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_3,"6.3 ¿Por qué no utiliza computadora, laptop o tablet?",1,Varchar2 ,[1-8],"1 No tiene acceso a una, aunque sabe utilizarla, 2 No sabe utilizarla, 3 No le interesa o no la necesita, 4 Por falta de recursos económicos, 5 Usa su teléfono celular inteligente (Smartphone), 6 Desconoce su utilidad, 7 Por discapacidad física o mental, 8 Otra razón"
P6_3A,"6.3 ¿Por qué no utiliza computadora, laptop o tablet? 
Especifique",100,Varchar2 ,[A-Z],
P6_4,"6.4 Generalmente, ¿cuántos días a la semana usa la computadora, laptop o tablet?",1,Varchar2 ,[1-5],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Al menos una vez al mes, 4 Al menos una vez cada tres meses, 5 Con otra frecuencia menor"
P6_5,"6.5 ¿Cuántas horas al día usa la computadora, laptop o tablet? (cuando la utiliza)",2,Varchar2 ,[01-12],"01 Una hora o menos, 12 Doce horas o más"
