ESTRATO,DOMINIO,Grupo,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. Méx.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
1,R,11,,3.411528786967854,3.066406557670472,3.058415259059324,2.2143218347665847,3.9639270937416535,1.9278716973449144,2.596099633257421,,2.493390506578243,3.6225893984380693,3.0127244927717802,2.940581945687222,2.9425547739492752,2.8785229575634705,2.294252334192071,4.014960760234819,2.402178142815842,3.902890993874192,3.0481863091992123,3.0741139023703212,3.3736705603009893,2.829674522923776,2.5271510422221564,3.1596470909402594,3.9531491885960692,3.208921479767799,3.7899171724222356,2.416860536925998,2.6575920756233473,3.1225389276624886,3.084681941127539
1,U,11,,5.0463259598271035,5.006639886730158,3.3528285276688363,2.7791005291005293,,2.8545099898095376,6.8962962962962955,4.913071895424837,7.3037902768432295,4.612414643560131,4.227316146019218,4.626262626262626,2.822222222222223,3.98971670742132,2.558556002094594,4.120816271758226,,3.0977994877609283,2.908737623485604,2.782733890376719,3.9303115985050723,4.54171771924395,2.4227588570372687,4.487581699346405,5.013222130770205,3.1715246404212696,4.799162855296853,3.24721723004673,2.6457438851265254,3.3743513561053162,
2,R,20,4.703609847556543,4.703621036509369,5.115593806169204,,3.1368696027945466,4.474019375394122,3.1681650722776906,4.208359325453553,6.175713045460826,3.847917162608404,3.5287467307500138,,4.14553899374355,4.509161177652653,4.843588221421079,3.9861121144725784,5.036620281677624,3.6960581738850937,6.9961819500302465,4.358287522612762,3.992689116464112,4.826562301712643,3.4032621864449415,4.027668146092527,3.648103665391657,4.830450957009619,3.7182981225033007,4.71777764618302,4.15275099495319,3.714810121036768,4.026588871679756,3.7826495222987115
2,R,21,6.985203123476672,,8.111111111111112,,,,,,,,,,6.86751390859083,,8.111111111111112,,9.0,7.666666666666668,,,,5.966666666666668,,8.333333333333336,,,,,,,,
2,R,22,6.0284244738253765,7.555555555555556,4.996379014890039,,,,,7.833333333333334,,6.888888888888889,7.444444444444445,,5.025864875864876,,,3.7777777777777777,6.133333333333333,6.5403619348309,,,4.533333333333333,6.333333333333334,,,,7.222222222222223,7.0,,,4.666666666666667,,5.530929815851921
2,R,23,5.333333333333333,,6.423571476581655,,1.666666666666667,7.333333333333334,,,,2.8888888888888884,4.768688888610854,,,5.666666666666666,,6.078944849964304,2.3333333333333335,3.881817849838618,,4.111111111111112,,5.311147014665622,,,4.400066445769102,,1.5118054102795697,,1.789001731029729,6.844444444444445,2.666666666666667,3.668752963635889
2,U,20,4.724455377508834,6.039522933711004,5.5491814979742315,5.4514821536060545,5.069195320357515,5.267385530449803,4.67312308886208,5.4186884849840276,6.683631161265304,4.845320326931501,4.6605026181780564,5.35383225657705,4.906962756015667,5.146405802010898,5.746620513203289,4.65249902391549,5.364834784086212,5.2405303568310675,5.795650541450719,5.003387457876654,4.78292110488994,5.893011420505088,5.490339792375673,5.312781209065985,4.999762053594239,6.127174104615467,5.067514610546593,5.398707967265148,4.5811104482330975,4.882679862652828,4.87036010777188,4.969655827069089
2,U,21,7.310672282512138,8.055016400755969,8.180849183941026,8.091541879283904,6.232667842129297,7.447853836423529,6.79195050666126,,7.723987807475136,7.666666666666667,7.163437015711176,6.664674836975718,6.309344285839171,7.87350341840514,7.592591302461016,7.3085575294952125,7.06927131111287,8.024553614881007,7.333333333333334,8.564876282438142,8.555555555555557,8.143419445380713,7.676731339290273,,8.925734340159702,8.341163368415872,7.1690119973005375,7.391566791840346,6.884442580522144,7.374129763728861,7.824704869749066,8.318033262116986
2,U,22,6.3901708158752,6.379414083780258,7.138616762171688,5.950369493941273,5.743930193386129,6.03589983366192,6.536864785576755,,6.546626759373671,2.6666666666666665,6.669142074147687,6.436399725269236,4.591852977353303,6.831784595189166,6.162905272963991,6.04170804843716,5.674673776252468,6.452819921971039,6.791344746495433,6.618868769165069,5.6345511292893455,6.439208360536512,5.90399028206037,6.348436095129538,5.950587303744434,7.96183943506348,6.379577814797882,6.68535888596732,5.291029708940888,5.947808393734542,5.917060073626534,5.670048752626319
2,U,23,4.395722490747485,4.770803510687317,3.206078653367154,4.265301759032875,5.030953944274348,4.915124423088532,3.0618718970882473,,4.666666666666667,,3.6592308089476306,4.573409483205283,5.0075806900744935,5.602431917114469,4.666666666666667,3.759628514122781,4.029520062593956,2.6666666666666665,,5.799470859085698,,4.837020956975263,4.807236038663382,5.2457741787684515,5.727418934093177,8.333333333333334,5.308113619317584,5.697418236523147,,5.270904439959438,5.458303810327376,3.1425576519916145
