ESTRATO,Grupo,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. Méx.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
1,11,0.0,3.5094220324885494,4.3225096978673445,3.1522243522664177,2.2495328324622808,3.9639270937416535,2.1360967268123936,2.7049207048437927,4.913071895424837,3.0199037762243828,3.6793108629524127,3.401621054572732,2.9559063867732753,2.926439664888632,3.197816557688871,2.357044767554776,4.041711625499326,2.402178142815842,3.824848558058778,3.023365580167496,2.9755635515832672,3.399067968594105,3.741518460400047,2.51633033861149,3.221529815448795,4.208157028666745,3.2030831197616605,3.9598750645655825,2.672377747103681,2.655897072263204,3.283594711273656,3.084681941127539
2,20,4.715311159437324,5.865413412408913,5.4535495893929395,5.4514821536060545,4.782666412199487,5.155523275543629,4.516427266858141,5.196660415433193,6.676073480025377,4.547788288168229,4.341656536945346,5.35383225657705,4.667044508360114,4.989032609169694,5.654171819248955,4.491234603081022,5.3079031661501475,4.77507151497066,6.036698100566865,4.886265499051122,4.705495448515053,5.506790314230652,5.390431296031014,5.114547965048539,4.619367827627867,5.894003981524546,4.694627754137676,5.356182539742235,4.501066041645049,4.687333744263501,4.800562231916779,4.485534106235508
2,21,7.2129642289230125,8.055016400755969,8.173969584674222,8.091541879283904,6.232667842129297,7.447853836423529,6.79195050666126,0.0,7.723987807475136,7.666666666666667,7.163437015711176,6.664674836975718,6.52064443529516,7.87350341840514,7.621674790614157,7.3085575294952125,7.332781491997579,8.00344381648513,7.333333333333334,8.564876282438142,8.555555555555557,7.788282029943103,7.676731339290273,8.333333333333336,8.925734340159702,8.341163368415872,7.1690119973005375,7.391566791840346,6.884442580522144,7.374129763728861,7.824704869749066,8.318033262116986
2,22,6.318044300679368,6.6401564260805435,6.356523799091037,5.950369493941273,5.743930193386129,6.03589983366192,6.536864785576755,7.833333333333334,6.546626759373671,5.737499889110131,6.787816664453108,6.436399725269236,4.786022707664004,6.831784595189166,6.162905272963991,5.713394419048441,5.696649842992593,6.529954797984488,6.791344746495433,6.618868769165069,5.500858181557727,6.4057003566406,5.90399028206037,6.348436095129538,5.950587303744434,7.761097352238099,6.414861928119034,6.68535888596732,5.291029708940888,5.831469281731037,5.917060073626534,5.56496368879945
2,23,4.545903142953769,4.770803510687317,5.154369750332075,4.265301759032875,4.27808274781394,5.150231630948657,3.0618718970882473,0.0,4.666666666666667,2.8888888888888884,3.9654876144729534,4.573409483205283,5.0075806900744935,5.635662189038612,4.666666666666667,4.3979012372495765,3.773863094383782,3.631431208696878,0.0,5.264355864465915,0.0,5.085087437079954,4.807236038663382,5.2457741787684515,5.365899297111383,8.333333333333334,4.675206125926246,5.697418236523147,1.789001731029729,5.517515469868215,4.543415855742662,3.455003536298531
3,30,7.3400889763519235,7.944128917706226,7.368103991899774,7.188753537590746,6.801748822349097,7.772514736823801,6.333333333333333,6.371514030737332,8.303545431363546,0.0,7.598357504419479,1.666666666666667,0.0,7.181075312519961,7.299473023285669,7.746778470926512,6.993304853767251,8.871010008500594,7.380460001313429,7.676996234434447,0.0,6.7171890557405,6.6782192166807555,5.179583412753924,7.00300991814265,8.230919248881914,7.061192271263831,6.89224133755305,8.666666666666668,7.514095536413469,7.259495118823947,6.778884903399524
3,31,5.516981428520018,7.971836386582454,6.597413824753517,6.250826478065916,4.375061713269261,6.5472062947286584,6.963057672066773,5.290554331853222,7.253773544503491,6.461579115427467,6.53639796550039,5.698691835794476,1.666666666666667,3.916692276742699,4.4867116499912925,6.556071636747807,6.016331392644484,5.599993902121037,5.428270386842583,0.0,6.666666666666668,6.63553990786647,6.379701691321426,7.862977421057511,5.893047049237405,5.786540291408739,0.0,6.958246269127107,8.533333333333333,6.6607435998013855,5.87746574074043,4.0
3,32,7.06485294208112,8.008826283134873,5.0,7.897286226318485,8.444444444444446,8.324894514767934,0.0,8.198852050213617,8.796731897495796,0.0,8.15033521052412,0.0,7.127681701415654,7.43890124345654,7.932485662799551,6.9691071934919275,8.165601577043635,8.222222222222223,8.35903621820123,7.777777777777779,8.455406528866568,7.707583628190996,7.54727438035162,7.11904761904762,7.05293429650755,8.808400920895014,8.666666666666668,7.076945486648409,0.0,8.2349143214824,7.702095125468924,6.0
3,33,6.17731277808939,7.108091179368197,6.5803277695108475,6.732476764391637,6.197529325741717,6.695835933778466,6.618885557266432,6.295854605257847,7.448000977731155,6.276784645002122,6.313263317390934,7.533533199081627,6.425260643012298,6.164887461101149,6.86103117355532,5.999945255757176,6.379560829989489,6.985302600831557,6.904690533230072,6.958877198111776,6.622478834775405,6.955063522364372,6.683844139985796,6.7099008516269,6.222475316611343,7.204767828652695,6.507150280477324,6.340984149742106,6.414961227616023,6.55461067769235,6.617724116528617,6.651896210790463
3,34,6.0905814547762915,8.034557722292279,6.377292277936374,7.47588424437299,7.510594315245478,5.652964587105825,0.0,9.000000000000002,8.591047310829838,5.833333333333334,6.578192321199171,0.0,0.0,5.983467997167347,0.0,5.749542362032114,6.522020202020203,6.406769434210926,5.166666666666667,7.333333333333334,0.0,6.926496599903386,7.13828869910218,4.940632149645097,6.392205354085152,7.855865107247176,7.222222222222222,5.713062547637048,7.589849130280442,6.111111111111112,5.971142018649363,7.067073068120624
4,40,6.939488346125709,8.812334207971059,8.475832307350972,5.95710700433493,8.075184197225859,8.754785190018445,0.0,9.000000000000002,9.15494428904103,7.8097448239009175,8.356410954362868,0.0,0.0,9.590594625013972,7.092047874569554,7.974406260160389,0.0,8.138769670958512,8.54373496553739,0.0,9.666666666666668,8.429364702885115,8.545629997242902,9.11111111111111,8.013490217282973,10.0,8.333333333333336,7.097626399923652,7.666666666666667,1.666666666666667,7.600717364750773,0.0
4,41,7.994414589400341,9.466666666666669,6.85886991068717,8.666666666666668,9.666666666666668,7.6744681268027435,7.666666666666666,9.000000000000002,6.904791756519206,5.390362978527029,7.666666666666666,0.0,0.0,7.935612172296038,0.0,5.417015930350114,7.3454755462916355,0.0,8.42870941802518,0.0,5.162553257266229,8.29293962933644,7.085107661896527,9.000000000000002,6.600852682893686,8.284818782235291,8.5,7.0426536269817195,5.444444444444445,2.6666666666666665,6.022643249530001,0.0
4,42,7.388429745289892,7.83109035623946,7.710549795307816,7.00003459211461,7.836227132924606,7.442446234546873,6.848023487255225,7.667511012441871,8.488164459295431,7.0757162593794565,7.688000214465195,8.416666666666666,7.234888022615404,7.905819731263203,7.8284851079957125,7.390868983042196,7.408084448883501,8.04796710089662,8.187136639918238,8.36724376576702,7.739650919631328,7.831623452648715,7.406275474131567,7.624672531050624,7.105279203381123,8.668810805631043,8.005023969350498,7.1548074121480365,6.666943696750315,7.633277412556386,7.303841386560319,7.82526136114714
4,43,8.46428643857527,8.916199405665699,7.666666666666666,7.333333333333334,8.008005285502456,10.0,8.666666666666668,4.0,9.40485133900654,0.0,9.086758984924598,0.0,0.0,8.970156985606858,8.671251619804385,0.0,8.507569441663046,8.666666666666668,9.318433371079296,0.0,8.296936370777692,8.571970068639773,8.420085182694464,8.363657989190159,8.079528936443118,10.0,0.0,8.524157603850956,0.0,8.666666666666668,7.969445514222665,9.0
