ENT,Internet,NOMBRE
1,67.27180030798783,Aguascalientes
2,72.90578742149833,Baja California
3,72.06263453652859,Baja California Sur
4,61.603329927077596,Campeche
5,65.1895701073684,Coahuila de Zaragoza
6,73.99984215195867,Colima
7,34.53551108705861,Chiapas
8,68.67778443660968,Chihuahua
9,78.65552009351504,Ciudad de México
10,67.0873342181522,Durango
11,56.58558645592704,Guanajuato
12,47.6533743236223,Guerrero
13,59.82915563745047,Hidalgo
14,66.58715132163563,Jalisco
15,68.4573744308342,México
16,48.11065618153495,Michoacán de Ocampo
17,62.56957992676996,Morelos
18,60.83262497568174,Nayarit
19,74.46176905160337,Nuevo León
20,45.26329402263534,Oaxaca
21,51.50558008400529,Puebla
22,58.023016303214774,Querétaro
23,73.5358857295336,Quintana Roo
24,58.597681210151976,San Luis Potosí
25,66.99097453759174,Sinaloa
26,73.9059351419705,Sonora
27,54.50677438914608,Tabasco
28,72.54460547103106,Tamaulipas
29,56.14057686798043,Tlaxcala
30,50.882707373931375,Veracruz de Ignacio de la Llave
31,64.55095903319398,Yucatán
32,53.4149733683757,Zacatecas
