,Grupo,ESTRATO,acceso,uso,aptitudes,IDTMex,FAC_HOG
0,11,1,3.3125641836554856,2.26768315234776,3.7583403339248656,2.983767001186272,6984839
1,20,2,5.651381414994829,4.761300504278816,4.995858867207141,5.164244541150886,17295201
2,21,2,9.139431141587863,6.77930402071819,5.9404113921923365,7.5555763433608885,108498
3,22,2,6.417494160195531,6.44262212366932,5.4171374406941055,6.227474001684763,110877
4,23,2,5.1008186615910365,4.027355079440294,5.339792897225246,4.719228075857582,92468
5,30,3,8.512739268197404,6.798166712805527,6.885503771775601,7.5014631467562936,138234
6,31,3,6.609743955355059,5.262733963421695,6.487023558583568,6.046395879227415,81353
7,32,3,9.346600125956602,7.66807066929713,7.036489497634686,8.21316621762843,104798
8,33,3,7.316711807053552,6.311658545597946,6.315645969361396,6.714477334932878,7106718
9,34,3,6.536870524437441,6.997153639357948,6.086750142394447,6.630959693997046,43151
10,40,4,9.042469787364235,7.702307379191767,7.905889371483902,8.279088740919182,78444
11,41,4,6.9714325291961465,7.156435801128632,7.934896168610303,7.238126565851973,46924
12,42,4,8.495997120324384,7.212155843000287,7.842874114946503,7.85183600831917,3369824
13,43,4,9.798232812251504,8.185670132967616,8.664342916237976,8.926429761335244,106893
14,44,4,6.977416298168036,7.522291843637533,7.59375726044949,7.318634708812127,15830
